Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,116.370003,117.059998,115.910004,116.320000,115.060471,858700
2017-01-04,116.239998,117.709999,116.089996,117.309998,116.039749,623400
2017-01-05,116.889999,117.709999,116.029999,116.279999,115.020905,598700
2017-01-06,116.510002,116.959999,115.779999,116.699997,115.436356,429700
2017-01-09,116.470001,116.470001,115.040001,115.480003,114.229568,524700
2017-01-10,115.220001,115.419998,114.739998,114.779999,113.537148,894900
2017-01-11,114.800003,115.559998,114.650002,115.320000,114.071297,465800
2017-01-12,115.089996,115.239998,113.209999,114.400002,113.161263,586000
2017-01-13,114.279999,114.879997,113.790001,114.559998,113.319527,448800
2017-01-17,113.809998,114.269997,113.309998,113.669998,112.439163,305100
2017-01-18,113.980003,114.129997,113.230003,113.970001,112.735916,424700
2017-01-19,113.959999,114.279999,113.230003,113.739998,112.508408,382400
2017-01-20,114.260002,114.379997,113.309998,113.879997,112.646889,371900
2017-01-23,113.769997,114.059998,112.959999,113.839996,112.607323,267100
2017-01-24,113.750000,115.559998,113.750000,115.510002,114.259247,609200
2017-01-25,115.750000,116.989998,115.389999,116.750000,115.485817,783900
2017-01-26,116.879997,117.949997,116.650002,117.389999,116.118881,435500
2017-01-27,117.330002,117.599998,116.739998,117.290001,116.019966,478200
2017-01-30,117.120003,117.120003,115.300003,116.199997,114.941765,388200
2017-01-31,116.139999,116.529999,115.160004,116.110001,114.852745,647300
2017-02-01,115.800003,117.320000,114.529999,114.849998,113.606384,774600
2017-02-02,114.489998,115.470001,114.250000,115.220001,113.972382,590900
2017-02-03,115.680000,116.680000,114.330002,116.110001,114.852745,384600
2017-02-06,115.769997,115.849998,114.709999,114.959999,113.715195,490600
2017-02-07,115.320000,115.339996,114.370003,114.790001,113.547035,562800
2017-02-08,114.529999,114.940002,113.790001,114.349998,113.111801,427200
2017-02-09,114.550003,115.480003,114.400002,115.360001,114.110870,474100
2017-02-10,115.489998,117.000000,115.169998,116.720001,115.456139,722900
2017-02-13,117.239998,117.650002,116.629997,116.989998,115.723213,448000
2017-02-14,116.559998,117.019997,116.099998,117.019997,115.752892,362300
2017-02-15,116.739998,118.599998,116.470001,118.410004,117.127846,507700
2017-02-16,118.430000,119.510002,118.040001,119.510002,118.215935,464100
2017-02-17,118.970001,119.379997,118.089996,118.610001,117.325676,1435500
2017-02-21,118.660004,119.209999,118.029999,118.440002,117.157516,451400
2017-02-22,118.120003,118.839996,117.639999,118.800003,117.513618,491600
2017-02-23,119.019997,119.019997,117.589996,118.430000,117.147621,395200
2017-02-24,118.070000,119.070000,117.260002,119.070000,117.780693,394600
2017-02-27,118.889999,119.250000,118.550003,119.110001,117.820259,248900
2017-02-28,118.989998,118.989998,117.849998,118.010002,116.732170,413000
2017-03-01,118.690002,119.989998,118.519997,119.629997,118.334625,585100
2017-03-02,119.300003,119.309998,118.330002,118.540001,117.256432,418200
2017-03-03,118.650002,118.839996,117.870003,118.410004,117.127846,422000
2017-03-06,118.070000,118.709999,117.449997,118.610001,117.325676,287000
2017-03-07,118.209999,118.989998,117.790001,118.269997,116.989349,417500
2017-03-08,118.120003,118.760002,117.970001,118.360001,117.078384,326100
2017-03-09,118.589996,118.760002,117.209999,117.870003,116.593689,332900
2017-03-10,118.639999,119.269997,118.250000,119.029999,117.741127,449600
2017-03-13,118.879997,119.379997,118.769997,119.129997,117.840042,336700
2017-03-14,118.989998,119.279999,117.849998,118.449997,117.167404,323400
2017-03-15,118.849998,119.570000,118.459999,119.459999,118.166473,415400
2017-03-16,119.660004,120.000000,118.930000,119.239998,117.948853,301100
2017-03-17,122.309998,125.930000,120.830002,124.870003,123.517891,2220900
2017-03-20,124.809998,125.440002,123.699997,124.309998,122.963951,1030500
2017-03-21,125.010002,125.690002,123.620003,123.779999,122.439690,998200
2017-03-22,124.089996,125.199997,123.709999,124.370003,123.023308,853500
2017-03-23,124.330002,128.850006,122.739998,125.949997,124.586189,1414400
2017-03-24,126.410004,126.419998,124.839996,125.129997,123.775070,709500
2017-03-27,124.919998,125.760002,123.449997,125.120003,123.765182,612100
2017-03-28,124.930000,126.449997,124.199997,126.199997,124.833488,502400
2017-03-29,125.599998,126.570000,125.599998,126.440002,125.070892,687100
2017-03-30,126.190002,127.449997,126.180000,126.980003,125.605049,451800
2017-03-31,126.879997,127.070000,126.250000,126.540001,125.169807,642800
2017-04-03,126.860001,126.970001,124.720001,124.750000,123.399193,689100
2017-04-04,124.519997,125.089996,123.919998,124.839996,123.488213,439300
2017-04-05,124.959999,125.709999,123.639999,123.769997,122.429794,451400
2017-04-06,123.660004,123.830002,122.839996,123.209999,121.875862,517100
2017-04-07,123.070000,123.480003,122.400002,122.559998,121.232903,706100
2017-04-10,122.370003,123.790001,121.959999,122.660004,121.331825,604200
2017-04-11,122.040001,122.959999,121.669998,122.959999,121.628571,480700
2017-04-12,123.290001,123.739998,121.720001,122.379997,121.054848,314100
2017-04-13,122.519997,122.839996,121.480003,121.680000,120.362434,304000
2017-04-17,122.139999,122.989998,121.970001,122.980003,121.648361,309700
2017-04-18,122.690002,123.050003,121.699997,122.370003,121.044960,345800
2017-04-19,122.370003,123.209999,122.150002,122.650002,121.321930,331900
2017-04-20,123.370003,123.559998,122.639999,123.099998,121.767052,378100
2017-04-21,123.199997,123.879997,122.940002,123.139999,121.806625,617800
2017-04-24,124.209999,125.510002,124.040001,125.449997,124.091606,550700
2017-04-25,125.690002,126.269997,124.830002,125.110001,123.755295,503200
